# Public RPC surface — generated, do not edit by hand.
# Regenerate: scripts/generate-surface.sh
#
# PostgREST publishes every function below as an HTTP endpoint.
# `definer` bypasses RLS. `unreferenced` means nothing in this repo
# calls it, not that it is unreachable.
#
# name	args	returns	security	search_path	grants	reached_by
add_bot_to_server	p_bot_id uuid, p_server_id uuid, p_installed_by uuid, p_permissions jsonb	uuid	definer	public	anon+authenticated+service_role	client
add_existing_posts_to_new_follower_timeline		trigger	definer	public	anon+authenticated+service_role	trigger
add_post_emoji_reaction	p_user_id uuid, p_post_id uuid, p_emoji_id uuid, p_custom_emoji_content text	uuid	definer	public	anon+authenticated+service_role	client
add_user_prekeys	p_user_id uuid, p_device_id text, p_prekeys jsonb	integer	definer	public	service_role	unreferenced
add_user_to_conversation	conversation_uuid uuid, user_uuid uuid, user_role text	uuid	definer	public	anon+authenticated+service_role	client
admin_moderate_post	p_post_id uuid, p_action text, p_value text	boolean	definer	public	anon+authenticated+service_role	client
aggregate_hourly_metrics		integer	definer	public	anon+authenticated+service_role	client
approve_device_request	p_request_id uuid, p_approver_device_id text, p_encrypted_sync_bundle text	boolean	definer	public	anon+authenticated+service_role	client
archive_popular_hashtags		integer	definer	public	service_role	unreferenced
assign_default_role_to_member		trigger	definer	public	anon+authenticated+service_role	trigger
assign_server_slug		trigger	invoker	public,	anon+authenticated+service_role	trigger
auto_archive_threads		void	definer	public	anon+authenticated+service_role	client
backfill_timeline_entries		integer	invoker	public,	service_role	unreferenced
backfill_timeline_on_follow		trigger	definer	public	anon+authenticated+service_role	trigger
ban_server_member	p_server_id uuid, p_user_id uuid, p_reason text, p_delete_message_seconds integer	jsonb	definer	public,	anon+authenticated+service_role	client
batch_set_instance_config	p_keys text[], p_values jsonb[]	boolean	definer	public	anon+authenticated+service_role	client
broadcast_category_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_channel_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_conversation_participant_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_conversation_updated		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_device_approval_event		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_emoji_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_follow_event		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_home_feed_entry		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_key_request_event		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_membership_event		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_message_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_message_reaction_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_notification_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_permission_override_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_post_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_post_interaction_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_profile_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_role_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_server_change_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_server_settings_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_thread_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_unread_count_event		trigger	definer	public	anon+authenticated+service_role	trigger
broadcast_user_block_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_user_event	p_user_id uuid, p_payload jsonb	void	definer	public	anon+authenticated+service_role	client
broadcast_user_mute_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_user_role_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_user_server_change		trigger	definer	public,	anon+authenticated+service_role	trigger
broadcast_user_server_event		trigger	definer	public	anon+authenticated+service_role	trigger
build_harmony_embed	p_url text	jsonb	invoker	public,	anon+authenticated+service_role	unreferenced
