# Internal helpers: reachable, called only by other database code, yet
# exposed over HTTP because Supabase grants EXECUTE on public to anon.
#
# keep-policy  referenced by an RLS policy. Policy predicates run as the
#              querying role, so revoking locks every user out of the table.
# keep-invoker called by a SECURITY INVOKER function, which runs it as the
#              client. Revoking breaks that path.
# revocable    every caller is SECURITY DEFINER, so the helper runs as the
#              definer regardless of who called in.
#
# Advisory. Not applied: see db_schema/REFACTOR.md on sequencing.
#
# name	class
build_harmony_embed	revocable
bump_server_channel_epochs	revocable
can_current_user_manage_messages_in_channel	keep-policy
can_manage_group_icon	revocable
can_subscribe_to_topic	keep-policy
cleanup_dead_endpoint_users	revocable
create_default_server_structure	revocable
current_user_is_member_of_server	keep-policy
detect_embed_provider	revocable
determine_message_federation_type	revocable
extract_hashtags_from_content	keep-invoker
extract_message_text	revocable
extract_url_host	keep-invoker
fetch_link_preview	revocable
generate_discord_bridge_pairing_code	revocable
generate_unique_server_slug	keep-invoker
get_current_profile_id	keep-policy
get_current_user_profile_id	keep-invoker
get_default_channel	revocable
get_instance_config_int	keep-invoker
get_user_highest_role_position	revocable
has_blocked	keep-policy
has_permission	keep-policy
initialize_user_encryption	revocable
is_blocked_by	keep-policy
is_conversation_participant	keep-policy
is_current_user_admin	keep-policy
is_current_user_admin_or_mod	revocable
is_current_user_moderator	keep-policy
is_user_viewing_context	revocable
jsonb_text_content_length	keep-invoker
log_admin_action	revocable
message_notification_sender_json	revocable
normalize_embed_url	revocable
notification_actor_json	keep-invoker
process_post_hashtags	revocable
profile_web_handle	keep-invoker
public_instance_config_keys	keep-policy
purge_stale_invites	revocable
queue_federation_job	revocable
remove_post_emoji_reaction	revocable
resolve_mention_profile_id	revocable
sanitize_profile_string	keep-invoker
send_notification	revocable
slugify_server_name	keep-invoker
upsert_hashtag	keep-invoker
