# Function reachability — generated, do not edit by hand.
# Regenerate: scripts/generate-reachability.sh
#
# How execution enters every function in a schema built from db_schema/init/.
# entry is a comma-separated set of entry kinds. `http anon` and `service key`
# mean nothing reaches it and PostgREST publishes it anyway; `nothing` means dead.
#
# name	security	returns	grants	entry	detail
add_bot_to_server	definer	uuid	anon+authenticated+service_role	client	rpc in src/components/settings/ServerBotsSettings.vue
add_existing_posts_to_new_follower_timeline	definer	trigger	anon+authenticated+service_role	trigger	trigger public.follows AFTER INSERT/UPDATE (add_posts_to_new_follower_timeline)
add_post_emoji_reaction	definer	uuid	anon+authenticated+service_role	client	rpc in src/components/activitypub/MonyPost.vue
add_user_prekeys	definer	integer	service_role	service key	nothing references it
add_user_to_conversation	definer	uuid	anon+authenticated+service_role	client	rpc in src/stores/useDM.ts
admin_moderate_post	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts
aggregate_hourly_metrics	definer	integer	anon+authenticated+service_role	client	rpc in federation-backend/src/services/PerformanceMonitor.ts
approve_device_request	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/encryption/DeviceIdentityService.ts
archive_popular_hashtags	definer	integer	service_role	service key	called by run_trending_maintenance
assign_default_role_to_member	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER INSERT/UPDATE (trigger_assign_default_role)
assign_server_slug	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.servers BEFORE INSERT (trg_assign_server_slug)
auto_archive_threads	definer	void	anon+authenticated+service_role	client	rpc in src/components/ChannelSidebar.vue
backfill_timeline_entries	invoker	integer	service_role	service key	nothing references it
backfill_timeline_on_follow	definer	trigger	anon+authenticated+service_role	trigger	trigger public.follows AFTER INSERT/UPDATE (backfill_timeline_on_follow_trigger)
ban_server_member	definer	jsonb	anon+authenticated+service_role	client	rpc in src/services/ModerationService.ts
batch_set_instance_config	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts
broadcast_category_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.channel_categories AFTER INSERT/DELETE/UPDATE (trg_broadcast_category_change)
broadcast_channel_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.channels AFTER INSERT/DELETE/UPDATE (trg_broadcast_channel_change)
broadcast_conversation_participant_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.conversation_participants AFTER INSERT (trg_broadcast_conversation_participant)
broadcast_conversation_updated	definer	trigger	anon+authenticated+service_role	trigger	trigger public.conversations AFTER UPDATE (trg_broadcast_conversation_updated)
broadcast_device_approval_event	definer	trigger	anon+authenticated+service_role	client, trigger	named in src/composables/useDeviceApprovals.ts; trigger public.device_approval_requests AFTER INSERT/UPDATE (trg_broadcast_device_approval_event)
broadcast_emoji_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.emojis AFTER INSERT/DELETE/UPDATE (trg_broadcast_emoji_change)
broadcast_follow_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.follows AFTER INSERT/DELETE/UPDATE (trg_broadcast_follow_event)
broadcast_home_feed_entry	definer	trigger	anon+authenticated+service_role	client, trigger	named in src/composables/useFeedRealtime.ts, src/services/UserEventChannel.ts, src/stores/useActivityPub.ts; trigger public.timeline_entries AFTER INSERT (trg_broadcast_home_feed_entry)
broadcast_key_request_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.megolm_key_requests AFTER INSERT/UPDATE (trg_broadcast_key_request_event)
broadcast_membership_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.server_membership_events AFTER INSERT (trg_broadcast_membership_event)
broadcast_message_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER DELETE (trigger_broadcast_message_delete), public.messages AFTER INSERT (trigger_broadcast_message_insert), public.messages AFTER UPDATE (trigger_broadcast_message_update)
broadcast_message_reaction_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.reactions AFTER DELETE (trigger_broadcast_reaction_delete), public.reactions AFTER INSERT (trigger_broadcast_reaction_insert)
broadcast_notification_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.notifications AFTER INSERT/UPDATE (trg_broadcast_notification)
broadcast_permission_override_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.channel_permission_overrides AFTER INSERT/DELETE/UPDATE (trg_broadcast_permission_override)
broadcast_post_event	definer	trigger	anon+authenticated+service_role	client, trigger	named in src/composables/useFeedRealtime.ts, src/services/UserEventChannel.ts, src/stores/useActivityPub.ts, +1; trigger public.posts AFTER INSERT/DELETE/UPDATE (trg_broadcast_post_event)
broadcast_post_interaction_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.post_interactions AFTER INSERT/DELETE (trg_broadcast_post_interaction)
broadcast_profile_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.profiles AFTER UPDATE (trg_broadcast_profile_change)
broadcast_role_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.server_roles AFTER INSERT/DELETE/UPDATE (trg_broadcast_role_change)
broadcast_server_change_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.servers AFTER UPDATE (trg_broadcast_server_change)
broadcast_server_settings_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.server_encryption_settings AFTER INSERT/UPDATE (trg_broadcast_server_settings)
broadcast_thread_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.threads AFTER INSERT/DELETE/UPDATE (trg_broadcast_thread_change)
broadcast_unread_count_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.unread_counts AFTER INSERT/DELETE/UPDATE (trg_broadcast_unread_count)
broadcast_user_block_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_blocks AFTER INSERT/DELETE (trg_broadcast_user_block)
broadcast_user_event	definer	void	anon+authenticated+service_role	client	rpc in federation-backend/src/activitypub/ActivityProcessor.ts, federation-backend/src/queue/handlers/postHandler.ts, federation-backend/src/routes/gifs.ts
broadcast_user_mute_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_mutes AFTER INSERT/DELETE (trg_broadcast_user_mute)
broadcast_user_role_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_roles AFTER INSERT/DELETE (trg_broadcast_user_role_change)
broadcast_user_server_change	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER INSERT/DELETE (trg_broadcast_user_server_change)
broadcast_user_server_event	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER INSERT/DELETE (trg_broadcast_user_server)
build_harmony_embed	invoker	jsonb	anon+authenticated+service_role	trigger	called by fetch_link_preview
bump_room_epoch	definer	integer	service_role	client, trigger	called by bump_server_channel_epochs, request_room_epoch_bump, trg_conversation_epoch_bump
bump_server_channel_epochs	definer	void	anon+authenticated+service_role	trigger	called by trg_server_epoch_bump
can_current_user_manage_messages_in_channel	definer	boolean	anon+authenticated+service_role	policy	policy public.messages DELETE on messages_delete_authorized, public.messages UPDATE on messages_update_authorized
can_manage_group_icon	definer	boolean	anon+authenticated+service_role	client	called by remove_group_icon, update_group_icon, update_group_name
can_subscribe_to_topic	definer	boolean	anon+authenticated+service_role	policy	policy realtime.messages SELECT on authenticated_users_can_receive
cascade_delete_reblogs	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER UPDATE (cascade_delete_reblogs_trigger)
check_and_increment_bot_rate_limit	definer	boolean	anon+authenticated+service_role	client	rpc in bot-gateway/src/auth/BotAuthMiddleware.ts
check_bot_permission	invoker	boolean	anon+authenticated+service_role	client	rpc in bot-gateway/src/api/BotRestAPI.ts
check_category_limit	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.channel_categories BEFORE INSERT (enforce_category_limit)
check_channel_limit	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.channels BEFORE INSERT (enforce_channel_limit)
check_emoji_reaction_limit	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.post_interactions BEFORE INSERT (trigger_check_emoji_reaction_limit)
check_encryption_policy	invoker	jsonb	service_role	service key	nothing references it
check_key_consistency	definer	TABLE(user_id uuid, username text, has_public_key boolean, has_private_key boolean)	anon+authenticated+service_role	client	rpc in federation-backend/src/queue/handlers/maintenanceHandler.ts, federation-backend/src/routes/health.ts
check_message_emoji_reaction_limit	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.reactions BEFORE INSERT (trigger_check_message_emoji_reaction_limit)
claim_ap_activity	definer	boolean	anon+authenticated+service_role	client	rpc in federation-backend/src/activitypub/GroupService.ts, federation-backend/src/activitypub/InboxHandler.ts
claim_session_share	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/encryption/MegolmMessageEncryptionService.ts
cleanup_dead_endpoint_users	definer	void	anon+authenticated+service_role	trigger	called by trigger_cleanup_dead_endpoint
cleanup_expired_statuses	definer	integer	service_role	service key	nothing references it
cleanup_expired_voice_calls	definer	void	service_role	service key	nothing references it
cleanup_inactive_hashtags	definer	integer	service_role	service key	called by run_trending_maintenance
cleanup_old_metrics	definer	jsonb	anon+authenticated+service_role	client	rpc in federation-backend/src/services/PerformanceMonitor.ts
cleanup_old_notifications	invoker	integer	service_role	service key	nothing references it
cleanup_old_trending_data	invoker	integer	service_role	service key	called by run_trending_maintenance
cleanup_roles_on_member_leave	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER DELETE (trg_cleanup_roles_on_member_leave)
cleanup_stale_push_subscriptions	invoker	integer	anon+authenticated+service_role	client	rpc in federation-backend/src/services/PushNotificationService.ts
cleanup_stale_user_sessions	invoker	integer	service_role	service key	nothing references it
cleanup_stale_voice_participants	definer	void	service_role	service key	nothing references it
clear_custom_status	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/userDataService.ts
